Informazioni cronologiche,Età,Genere ,Titolo di studio,Nazionalità,Situazione lavorativa,Tipologia di utente,Quartiere/zona di residenza,Zona lavorativa,Ritieni che gli spazi verdi siano sufficienti?,Gli spazi verdi sono curati in maniera adeguata?,"Sono presenti spazi dove socializzare (incontrare persone, far giocare i bambini, etc.)?","Sei soddisfatto dell'arredamento urbano (panchine, cestini, ecc.)?",Ritieni che nel tuo quartiere ci sia una buona qualità edilizia?,Sei favorevole alla costruzione di nuove abitazioni?,Dalla tua abitazione è presente uno o più dei seguenti collegamenti? ,Sei soddisfatto delle condizioni del manto stradale ?,Sei soddisfatto del servizio di illuminazione?,Sei soddisfatto del servizio di raccolta rifiuti?,"Sei soddisfatto dei momenti di aggregazione (feste, eventi, ecc.)?","Sei soddisfatto delle attività culturali (serate di approfondimento, laboratori, mostre, ecc.)?",Sei soddisfatto dell'offerta scolastica ?,"Sei soddisfatto del sistema bibliotecario (posti, orari, ecc.)?","Sei soddisfatto degli spazi e delle attività rivolte agli anziani (centro anziani, corsi di digitalizzazione, eventi, ecc.)?",Sei soddisfatto dell'offerta di impianti sportivi?,Ritieni che l'offerta di tali servizi sia adeguata alla domanda legata al turismo? ,Quale mezzo usi abitualmente per muoverti in città?,Non usi la bicicletta per:,Ritieni che Ladispoli sia una città accessibile alle persone con disabilità?,La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato),La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato),La città di Ladispoli è... (posizionati verso l'aggettivo che ritieni più adeguato),Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [cultura],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [turismo],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [sport],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi sanitari],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [mobilità],Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi alla persona (prestazioni sociali)],"Indica il grado di soddisfazione per questo tipo di servizi al cittadino portati avanti dall'amministrazione comunale: [servizi comunali (anagrafe, tributi, ecc.)]",Quale dovrebbe essere la priorità della nuova amministrazione comunale?,Pensi che l'amministrazione comunale ascolti le esigenze dei cittadini? ,"L'anno prossimo, il giorno delle elezioni comunali, ti recherei a votare?",Quanto sei soddisfatto dell'attuale amministrazione di centro destra guidata da Alessandro Grando?
25/06/2021 15.49.59,29,femminile,dottorato,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",monteroni/boietto,Estero,abbastanza,per nulla,per nulla,per nulla,abbastanza,per nulla,mezzi di trasporto pubblico,per nulla,per nulla,poco,per nulla,per nulla,molto,abbastanza,non so,per nulla,per nulla,automobile,mancanza di piste ciclabili,per nulla,1,3,3,per nulla,per nulla,per nulla,poco,per nulla,per nulla,per nulla,"cultura e sport, verde pubblico, mobilità sostenibile, servizi sociali, arredo urbano",per nulla,forse,per nulla
25/06/2021 16.08.07,40,maschile,Laurea quadriennale,italiana,occupato,"frequento abitualmente Ladispoli (per lavoro, studio, affetti) ma vivo in un'altra città",miami,Altri comuni limitrofi,abbastanza,poco,poco,per nulla,poco,per nulla,pedonale,abbastanza,abbastanza,non so,per nulla,per nulla,poco,poco,poco,poco,poco,automobile,mancanza di piste ciclabili,per nulla,2,5,3,per nulla,poco,abbastanza,abbastanza,per nulla,per nulla,poco,"verde pubblico, servizi sociali, scuola",poco,forse,poco
25/06/2021 18.36.33,29,femminile,laurea di primo livello,italiana,occupato,residente,domitilla,Roma,abbastanza,poco,abbastanza,poco,non so,poco,mezzi di trasporto pubblico,abbastanza,molto,molto,molto,poco,non so,abbastanza,molto,poco,non so,automobile,non voglio,abbastanza,2,2,2,poco,abbastanza,abbastanza,abbastanza,abbastanza,poco,poco,"cultura e sport, digitalizzazione servizi comunali",non so,si,non so
25/06/2021 18.41.28,59,femminile,licenza media,italiana,casalingo/a,residente,monteroni/boietto,Non lavoro sono casalinga,abbastanza,non so,poco,poco,poco,poco,mezzi di trasporto pubblico,per nulla,per nulla,abbastanza,poco,poco,poco,molto,poco,poco,poco,automobile,mancanza di piste ciclabili,abbastanza,3,3,3,,,,per nulla,,,,sicurezza cittadini,poco,forse,poco
25/06/2021 18.59.07,57,femminile,diploma di scuola superiore,italiana,Lavoro a tempo determinato segreteria ,Vengo ogni tanto al mare,domitilla,Castelli romani,per nulla,poco,poco,poco,per nulla,poco,pista ciclabile,per nulla,poco,poco,abbastanza,non so,non so,non so,abbastanza,non so,non so,bicicletta,Se uso la bici non serve questa risposta ,poco,3,3,3,poco,abbastanza,poco,abbastanza,poco,poco,poco,"opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, sicurezza cittadini",non so,no,non so
25/06/2021 19.06.54,21,femminile,diploma di scuola superiore,italiana,studente,residente,palo laziale,Altri comuni limitrofi,poco,poco,poco,poco,abbastanza,per nulla,"pista ciclabile, mezzi di trasporto pubblico, pedonale",poco,poco,molto,abbastanza,per nulla,abbastanza,poco,poco,non so,abbastanza,automobile,mancanza di piste ciclabili,poco,4,3,2,per nulla,poco,abbastanza,poco,per nulla,per nulla,poco,"cultura e sport, verde pubblico, mobilità sostenibile, servizi sociali",per nulla,si,per nulla
25/06/2021 19.11.39,25,maschile,diploma di scuola superiore,italiana,occupato,residente,palo laziale,Roma,poco,poco,poco,abbastanza,poco,poco,"pista ciclabile, mezzi di trasporto pubblico, pedonale",abbastanza,abbastanza,abbastanza,abbastanza,non so,abbastanza,non so,non so,abbastanza,poco,automobile,Devo comprarla,poco,3,1,1,poco,poco,abbastanza,poco,abbastanza,poco,per nulla,"cultura e sport, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini",poco,si,poco
25/06/2021 19.18.23,71,femminile,licenza media,italiana,pensionato,residente,cerreto,Ladispoli,per nulla,poco,poco,per nulla,per nulla,per nulla,mezzi di trasporto pubblico,per nulla,poco,poco,per nulla,per nulla,poco,per nulla,per nulla,poco,per nulla,automobile,mancanza di piste ciclabili,per nulla,5,3,3,per nulla,poco,poco,per nulla,per nulla,poco,per nulla,"cultura e sport, opere pubbliche, digitalizzazione servizi comunali, verde pubblico, mobilità sostenibile, servizi sociali, turismo, arredo urbano, sicurezza cittadini",per nulla,si,per nulla
25/06/2021 19.21.21,42,femminile,laurea specialistica,italiana,disoccupato,Non sono residente ma vivo a Ladispoli,cerreto,Disoccupata,poco,poco,poco,per nulla,molto,per nulla,"mezzi di trasporto pubblico, pedonale",per nulla,abbastanza,abbastanza,per nulla,per nulla,non so,non so,non so,abbastanza,poco,automobile,non voglio,poco,3,2,3,per nulla,poco,abbastanza,per nulla,poco,per nulla,per nulla,"digitalizzazione servizi comunali, verde pubblico, servizi sociali",per nulla,si,per nulla
25/06/2021 23.00.17,44,maschile,laurea specialistica,italiana,occupato,residente,domitilla,Ladispoli,poco,abbastanza,abbastanza,poco,per nulla,per nulla,pedonale,abbastanza,poco,abbastanza,poco,poco,molto,molto,abbastanza,abbastanza,poco,automobile,mancanza di piste ciclabili,abbastanza,2,2,1,poco,poco,abbastanza,poco,abbastanza,poco,per nulla,"digitalizzazione servizi comunali, mobilità sostenibile, servizi sociali",poco,si,poco
